deck,p_habit,metric,n_pairs,mean_gap_delta,std_gap_delta,ci_low,ci_high,direction
52,0.5,zipf,10,0.4288949778,0.250484714,0.2685193529,0.5630836611,worse
52,0.5,flipped_pairs,10,-0.3417396203,0.05910804545,-0.378486348,-0.3074345522,better
52,1,wordlen_mean,10,0.02194592513,0.03501228461,0.001688130868,0.04263635504,worse
52,1,wordlen_std,10,0.01401076107,0.03714852273,-0.006890272905,0.03655565004,worse
52,1,wordlen_skew,10,0.02500338405,0.08787079551,-0.01746674969,0.08355772208,worse
52,1,wordlen_unique_mean,10,-0.0401551549,0.03310159464,-0.05853892393,-0.02035073665,better
52,1,wordlen_unique_std,10,0.02072413988,0.03158499445,0.004395458316,0.04113998265,worse
52,1,wordlen_unique_skew,10,-0.09798637177,0.1479478331,-0.1834863434,-0.01344000966,better
52,1,wordlen_autocorr,10,0.07152231634,0.1124744033,0.005544698114,0.137427968,worse
52,1,wordunique_mean,10,0.154934196,0.03656123317,0.1345797461,0.1776419452,worse
52,1,wordunique_std,10,0.07920176435,0.05086166047,0.05058067426,0.1103762336,worse
52,1,wordunique_skew,10,0.9509537499,0.2290013157,0.8203686928,1.090920743,worse
52,1,wordchange_mean,10,0.1178995968,0.04923184371,0.090952272,0.1480238788,worse
52,1,wordchange_std,10,-0.01258212675,0.07651420587,-0.05296217014,0.03572649328,better
52,1,wordchange_skew,10,1.046777881,0.2527745838,0.9028944138,1.196800184,worse
52,1,worddist_max,10,0.4679001323,0.07818814929,0.4204320029,0.5110854229,worse
52,1,worddist_shape,10,1.236249036,0.06933154957,1.1962577,1.277644563,worse
52,1,wordbias_mean,10,2.2027957,0.05685363229,2.169860309,2.23744682,worse
52,1,wordbias_std,10,1.664874721,0.08842988291,1.610095127,1.712965057,worse
52,1,wordbias_skew,10,1.854781671,0.05133181337,1.825507499,1.885330827,worse
52,1,wordbias_lines_mean,10,2.216738174,0.06820923016,2.178482477,2.258192251,worse
52,1,wordbias_lines_std,10,1.530340359,0.08975695138,1.479089787,1.585343867,worse
52,1,wordbias_lines_skew,10,1.888671377,0.05966071193,1.855660404,1.925296054,worse
52,1,chardist_max,10,-0.05920657053,0.02633944073,-0.07412111964,-0.04347243679,better
52,1,chardist_shape,10,0.007708187877,0.008023853622,0.0028755869,0.01235725201,worse
52,1,ngramdist_max,10,-0.03275737817,0.009597204683,-0.03790345512,-0.02673752585,better
52,1,ngramdist_shape,10,0.123828808,0.005915147679,0.1202602006,0.12713331,worse
52,1,charbias_mean,10,0.03385261641,0.01972559234,0.02194662784,0.04498630465,worse
52,1,charbias_std,10,-0.02180029957,0.07505839736,-0.06297765986,0.02492305371,better
52,1,charbias_skew,10,0.2861768639,0.1231208447,0.2125539771,0.3567517691,worse
52,1,charbias_words_mean,10,0.1981861807,0.06873647892,0.1588426981,0.2388710018,worse
52,1,charbias_words_std,10,0.3477231038,0.09915274397,0.2906046558,0.4060458746,worse
52,1,charbias_words_skew,10,0.02911815554,0.05857291582,-0.00722088191,0.06027608145,worse
52,1,unique_words,10,1.485738507,0.06473564181,1.448496312,1.524509458,worse
52,1,repeated_words,10,-0.8054797177,0.05557750788,-0.8367542016,-0.7723876979,better
52,1,tripled_words,10,-0.02437015202,0.04259938512,-0.05483284205,0,better
52,1,unique_chars,10,0.03985185935,0.01154418882,0.03337939959,0.04697156508,worse
52,1,repeated_chars,10,-0.009050668281,0.02989173134,-0.0268977441,0.008279166458,better
52,1,tripled_chars,10,0.007634970161,0.0371860093,-0.01499810572,0.02925604318,worse
52,1,unique_ngrams,10,0.3029949415,0.019000325,0.2916373344,0.3135344117,worse
52,1,entropy,10,0.4499541251,0.07739527624,0.4016945604,0.4957574127,worse
52,1,compression,10,0.387171007,0.01980256467,0.3761416338,0.3992937418,worse
52,1,zipf,10,1.037181018,0.201293493,0.9106308214,1.149440377,worse
52,1,flipped_pairs,10,1.03215448,0.1085796879,0.9661679488,1.092791544,worse
78,0.3,wordlen_mean,10,0.008353995037,0.01910226432,-0.002792370253,0.01945006517,worse
78,0.3,wordlen_std,10,-0.003528310355,0.01279896229,-0.01121102446,0.003790938215,better
