text,model,configuration,deck,p_habit,seed,n_tokens,ciphertext_sha256,hurst,crossover_n,n_bits,wordlen_mean,wordlen_std,wordlen_skew,wordlen_unique_mean,wordlen_unique_std,wordlen_unique_skew,wordlen_autocorr,wordunique_mean,wordunique_std,wordunique_skew,wordchange_mean,wordchange_std,wordchange_skew,worddist_max,worddist_shape,wordbias_mean,wordbias_std,wordbias_skew,wordbias_lines_mean,wordbias_lines_std,wordbias_lines_skew,chardist_max,chardist_shape,ngramdist_max,ngramdist_shape,charbias_mean,charbias_std,charbias_skew,charbias_words_mean,charbias_words_std,charbias_words_skew,unique_words,repeated_words,tripled_words,unique_chars,repeated_chars,tripled_chars,unique_ngrams,entropy,compression,zipf,flipped_pairs,distance_eva_basic
habit_p0p5_deck52_seed02,habit,p=0.5,52,0.5,2,20968,497c71d9892b911286015a9efa2237144be24c8ea71c3c6f8ed804a49eebe665,0.634,1852,500000,5.257769231,1.62325706,0.02312106012,5.445213712,1.630813131,0.08300191425,-0.03733457578,1.026760979,0.5692794592,3.128173311,1.012230752,0.5749254477,3.012515004,8.67,1.7128,1.778858677,0.6135325136,-0.8336462251,1.790563595,0.6001543011,-0.8445375148,0.1349911441,0.05300000588,141.96,8.45953981,0.411412744,0.1783209253,4.577349657,1.199322606,0.3517399289,0.7996973536,142.8,0.00195,0,18.13,0.06523490552,0.00520689184,270.87,1.466379865,0.3924244076,6.091332865,0.02733076923,5.234952942
habit_p0p5_deck52_seed03,habit,p=0.5,52,0.5,3,20941,63086f34a70d2131b24cde7719912a2f326d5bd55d1efc7a481d264117a3b8dd,0.619,1852,500000,5.255986816,1.56668659,0.03901959887,5.401905799,1.594565329,0.1095287845,-0.04837157727,1.016697833,0.5420907263,2.985789871,1.01276422,0.5338059216,2.71648268,9.38,1.7476,1.773974099,0.6183555015,-0.8288868865,1.779875223,0.6078656715,-0.8269614114,0.1332896081,0.05290783146,139.92,8.462470488,0.417979853,0.1710097527,4.283927498,1.198352097,0.3525316531,0.9693721023,141.5,0.00255,0,18.04,0.06911358948,0.006301817164,270.45,1.454135233,0.3895752938,6.06278606,0.02729800995,5.447393688
habit_p0p5_deck52_seed04,habit,p=0.5,52,0.5,4,20979,12fec8ae028d11de83cac84cb1ed7a53fa020f2bfd65a50b38153ee7e5364bc1,0.647,2797,500000,5.209348325,1.606213807,0.06025256845,5.388651129,1.62119976,0.138117691,-0.04515455006,1.021072764,0.5464189009,2.811486198,1.017939658,0.5557603137,2.737049021,9.35,1.8264,1.760836917,0.6219655928,-0.7731227015,1.764614296,0.6136033271,-0.763329854,0.1370513373,0.05339110036,142.95,8.579223694,0.4151524499,0.1696880921,4.55021006,1.217594596,0.3517905886,0.7962216402,140.13,0.00259784689,0,17.95,0.07074911574,0.006110626079,264.5,1.436991612,0.387874825,5.746632068,0.03156555024,5.518978872
habit_p0p5_deck52_seed05,habit,p=0.5,52,0.5,5,20929,87463cf8667ef1038ee880ae2719bb3856571188736a585a438d8341f2ace49f,0.633,1852,500000,5.310846411,1.632459714,0.0103113876,5.471202682,1.643194621,0.07874016197,-0.04116040962,1.025438558,0.5542400819,3.005104046,1.018456806,0.5576663888,2.881326854,8.67,1.6224,1.796024373,0.5978657358,-0.8661161163,1.79675859,0.5993284463,-0.8806611203,0.1302310236,0.05292102049,138.18,8.545346877,0.4142296041,0.1736901825,4.834053692,1.203681233,0.3552429816,0.8587346302,143.88,0.00254138756,0,18.22,0.0675631395,0.006590607493,271.88,1.460760219,0.3912161968,5.321232969,0.02452200957,5.326261726
habit_p0p5_deck52_seed06,habit,p=0.5,52,0.5,6,20982,d89003217b83c60beb892683c7176736e0ffef0dca0c4c0f2261f4ae6da30799,0.641,2797,500000,5.327667822,1.637193926,0.06838414317,5.518330878,1.647607294,0.1234338741,-0.03545865409,1.019713705,0.5491265863,3.003176943,1.018236133,0.5805782922,3.138031074,8.83,1.6068,1.788146649,0.6037792505,-0.8460352682,1.797713471,0.5962559257,-0.8726650629,0.1310200793,0.05305316519,139.42,8.529559169,0.4174827816,0.1632691221,4.792121542,1.202675239,0.350062983,0.9213044405,143.73,0.00199950495,0,17.99,0.0664594726,0.006587557478,273.26,1.469311311,0.3917052121,7.403607835,0.02368415842,5.047660136
habit_p0p5_deck52_seed07,habit,p=0.5,52,0.5,7,21010,368884120fd63c499516f6e85c03b23e2081922df3ec4ac277ec82379e963fcb,0.575,4222,500000,5.22905,1.582732469,0.01161496616,5.369564375,1.614803374,0.08517632349,-0.02646573936,1.023758197,0.5617877671,3.029698695,1.003521051,0.5511304634,2.806232022,9,1.7392,1.754431217,0.624873688,-0.7585101513,1.757969992,0.6229004241,-0.7753698333,0.1349121339,0.05302699045,141.02,8.521881087,0.4139936185,0.1764299195,4.993100489,1.218076266,0.3550317167,0.8636261546,139.69,0.00445,0,18.25,0.07032827574,0.006214474871,267.32,1.432710688,0.3873629311,5.266765317,0.03315,5.500866498
habit_p0p5_deck52_seed08,habit,p=0.5,52,0.5,8,21053,ce77b5917edffdfc27b1f0beabfd5f73147020cb8a5454712bd43bcb7656cfdc,0.641,2797,500000,5.26749064,1.650160846,0.0628587308,5.47607724,1.651505823,0.09884594843,-0.03452538298,1.02879123,0.5656982952,2.974683384,1.015638952,0.5545252618,2.680022981,9.2,1.6824,1.776901456,0.6095934388,-0.8292925328,1.78711773,0.5996506994,-0.8372319635,0.1342788502,0.05293012224,141.4,8.546824811,0.4113763836,0.1744508108,4.92682385,1.195653515,0.3484513719,0.867643784,142.49,0.002198522167,0,18.19,0.06651028651,0.005625150262,269.06,1.465666802,0.3923171342,7.047277717,0.0239955665,5.290758485
habit_p0p5_deck52_seed09,habit,p=0.5,52,0.5,9,20958,e61ca6cf8f34bdaa207aa27b12b1b98da302fbeb61edfeb7e4edc96889729b57,0.616,1227,500000,5.304126923,1.628253555,0.06817516265,5.483405842,1.645354296,0.1067178639,-0.02086122392,1.02429109,0.5607293838,3.095379648,1.004865934,0.5497095314,2.936999862,8.55,1.64,1.796509894,0.596130522,-0.8484194468,1.805540577,0.5897370266,-0.8880057757,0.1321161953,0.05297935538,140.11,8.574072309,0.4130978438,0.1699552662,4.791299999,1.199506817,0.3465440486,0.8900894362,144.08,0.0034,0,18.12,0.06716587155,0.005702782767,270.89,1.470839649,0.3914608561,6.046745628,0.02793846154,5.010960515
habit_p0p5_deck52_seed10,habit,p=0.5,52,0.5,10,21004,76ec43956b396e5d8f60992d732fff644a01016397727c6aeac1f2ba8fe712ac,0.591,1852,500000,5.277541176,1.573893654,0.04079027954,5.420663148,1.602955721,0.0941223078,-0.03480117131,1.014988451,0.5364675272,2.911578107,1.010413554,0.5395862889,2.761370516,8.91,1.7568,1.76921232,0.6145893194,-0.7947544564,1.786404525,0.6011477356,-0.8369105955,0.1280522508,0.0529240104,135.01,8.509267844,0.4174520787,0.1699822344,4.56238889,1.2145957,0.3601005784,0.9052987563,141.69,0.002748039216,0,18.06,0.06631360714,0.005498022565,270.57,1.445718942,0.3893708606,5.965157519,0.02973823529,5.418856699
habit_p0p5_deck78_seed01,habit,p=0.5,78,0.5,1,20936,fb2debf801a2b046ceb05b988a55f3c351234953b8d6f792f19db892ff6cab16,0.61,1852,500000,5.416252913,1.630352534,0.05509677292,5.583063527,1.650321021,0.1118055795,-0.0322295007,1.017869448,0.5411140367,2.893798375,1.014661173,0.5266808437,2.704529548,8.83,1.64,1.806188575,0.5960251213,-0.9125285245,1.807537135,0.5900172787,-0.8888792027,0.1264116475,0.05230025927,136.76,8.580265481,0.4151443711,0.171113818,4.059044007,1.197796554,0.3525095624,0.9752502189,144.94,0.00245,0,18.19,0.06458534521,0.00618762329,277.45,1.472919637,0.391516986,5.560755914,0.02434417476,5.288778585
habit_p0p5_deck78_seed02,habit,p=0.5,78,0.5,2,20968,dde1bc66fb8b9a261bd1f3d6405485cb23838088d4e0237717fe9266eff6f41b,0.607,21937,500000,5.277061538,1.621092986,0.0315652725,5.470371979,1.625569874,0.09323305617,-0.04876621369,1.0286809,0.5590696703,2.968915669,1.01315451,0.5501640602,2.805085808,8.54,1.65,1.790779502,0.6052490229,-0.8590276103,1.795673813,0.6010306298,-0.8771046759,0.1311275007,0.05281110519,138.34,8.444273626,0.4159734927,0.1732597975,4.679681243,1.200094889,0.3532743024,0.8053896271,144.02,0.002096153846,0,18.15,0.06590685967,0.006370903278,272.72,1.473690672,0.3940185545,6.409897184,0.02713461538,5.323295171
habit_p0p5_deck78_seed03,habit,p=0.5,78,0.5,3,20941,a32123684d75ae091b20a7b82697359761337771a3b662a12c32ff60657f652c,0.648,1852,500000,5.315621393,1.628680881,0.03120978488,5.531214636,1.634854115,0.07461512777,-0.04320560612,1.022755902,0.5687402789,3.307311016,1.024784087,0.5976360586,3.333328419,8.71,1.5684,1.798065357,0.5989909654,-0.8921267868,1.803635477,0.5956939323,-0.8971895949,0.1355500833,0.0526986357,144.04,8.468377841,0.4145270392,0.1732288433,3.990109915,1.185875966,0.3476156579,0.8792948297,144.41,0.002649502488,0,18.06,0.06524532418,0.005819380978,274.21,1.493550939,0.3954245924,6.176089405,0.02464701493,5.038190787
